instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
pr2392_150.txt,pr2392,,150,47,813175.5113,797840.3669,718766.9027,124,18,iter_limit,15,8,50021.8238,8,1.0487,5.5699,425.7193,432.3379,OK
pr2392_300.txt,pr2392,,300,47,535180.8995,505999.5752,461843.0815,308,40,iter_limit,38,20,25569.7844,19,1.7060,23.9882,2417.5766,2443.2709,OK
pr2392_500.txt,pr2392,,500,47,399042.3997,356099.6533,321100.0786,248,47,iter_limit,31,18,20027.1697,15,3.4556,81.4933,2187.0826,2272.0316,OK
rl1304_010.txt,rl1304,,10,47,2193423.1621,2193423.1621,2147400.5171,160,22,iter_limit,13,2,1283.8091,1,0.1549,0.0407,150.5195,150.7151,OK
rl1304_050.txt,rl1304,,50,47,861254.3811,855980.3819,813295.8117,117,10,iter_limit,12,5,11661.6320,5,0.1985,0.3163,154.3471,154.8620,OK
rl1304_100.txt,rl1304,,100,47,570507.0277,551508.4240,505253.7457,108,13,iter_limit,13,5,24688.0876,5,0.2639,1.5731,242.0733,243.9103,OK
rl1304_200.txt,rl1304,,200,47,335337.4411,307123.8613,283966.1726,140,15,iter_limit,17,8,13574.1621,8,0.4187,3.2702,657.0837,660.7726,OK
rl1304_300.txt,rl1304,,300,47,263920.5462,215054.3682,192668.5928,212,34,iter_limit,26,16,14087.9135,11,0.7355,15.4980,1105.9903,1122.2239,OK
u724_010.txt,u724,,10,47,183540.0265,183540.0265,181825.2877,122,14,iter_limit,10,5,538.5156,3,0.0340,0.0135,20.3248,20.3723,OK
u724_030.txt,u724,,30,47,101435.2145,101435.2145,95793.0101,106,8,iter_limit,10,3,1543.8681,3,0.0437,0.0126,15.2742,15.3306,OK
u724_075.txt,u724,,75,47,61636.2911,60317.5779,55014.7133,108,12,iter_limit,13,6,3069.8816,6,0.0665,0.2941,89.8632,90.2238,OK
u724_125.txt,u724,,125,47,45888.4674,42460.1582,39438.1709,100,14,iter_limit,12,5,1762.3176,5,0.1105,1.1386,325.6302,326.8793,OK
u724_200.txt,u724,,200,47,40940.7739,30583.6518,28255.0933,197,20,iter_limit,24,10,1503.9596,9,0.2049,6.2891,732.5231,739.0171,OK
ali535_005.txt,ali535,,5,48,10070.8938,9985.0736,9956.7698,71,5,iter_limit,6,2,13.0450,0,0.0125,0.0213,21.6264,21.6602,OK
ali535_025.txt,ali535,,25,48,4067.1101,4043.4217,3711.7171,220,16,iter_limit,24,8,62.6905,5,0.0295,0.0641,36.1911,36.2848,OK
ali535_050.txt,ali535,,50,48,2814.6635,2775.7220,2510.5869,124,6,iter_limit,13,2,155.1898,2,0.0210,0.0737,44.5153,44.6100,OK
ali535_100.txt,ali535,,100,48,2046.1639,1631.7354,1463.1209,299,21,iter_limit,37,8,43.9916,6,0.0396,0.6963,805.6573,806.3933,OK
ali535_150.txt,ali535,,150,48,1767.7966,1291.3805,1049.4085,279,30,iter_limit,34,5,50.8471,5,0.0611,1.6243,1100.5367,1102.2222,OK
fnl4461_0020.txt,fnl4461,,20,48,1331529.4819,1331494.9356,1284329.6669,212,15,iter_limit,23,6,4424.2287,6,2.9663,1.2837,679.7771,684.0272,OK
fnl4461_0100.txt,fnl4461,,100,48,582190.9263,581415.4914,556989.9287,175,22,iter_limit,21,6,2758.1641,6,4.9461,3.7378,1275.8180,1284.5020,OK
fnl4461_0250.txt,fnl4461,,250,48,364520.0082,363450.6168,343789.1558,164,27,iter_limit,20,12,12646.3875,12,6.3427,16.1526,1683.1543,1705.6497,OK
fnl4461_0500.txt,fnl4461,,500,48,251527.3079,247122.7151,229874.2575,223,35,iter_limit,27,13,11280.2692,10,9.8080,70.6307,3200.5776,3281.0163,OK
fnl4461_1000.txt,fnl4461,,1000,48,170841.0159,160273.9326,148132.4862,179,63,time_limit,22,17,9326.1090,17,29.0077,494.3206,3606.2708,4129.5992,OK
lin318_005.txt,lin318,,5,48,181983.4508,181983.4508,180281.2051,87,6,iter_limit,6,2,140.1689,2,0.0042,0.0023,19.9114,19.9180,OK
lin318_015.txt,lin318,,15,48,96595.5881,93805.3352,88901.5631,102,7,iter_limit,10,3,1680.4560,3,0.0057,0.0057,18.9304,18.9417,OK
lin318_040.txt,lin318,,40,48,57252.7461,52724.3800,48157.1700,164,20,iter_limit,18,9,387.2849,7,0.0078,0.0852,33.0051,33.0981,OK
